group,names,scores,logfoldchanges,pvals_adj
10,RPS15,12.755528,0.51874,1.8354006646812521e-34
10,GSTP1,12.698078,1.6137753,3.7140383470363687e-34
10,ACTA2,12.617822,2.1949291,9.732057767898705e-34
10,CAVIN1,12.405392,1.9918531,1.3003405188757075e-32
10,C3,12.281918,1.5844561,5.8746153271795e-32
10,RPS28,12.079063,0.49567744,6.8898263349667324e-31
10,APOD,12.075717,2.0423818,7.000906143756197e-31
10,TMSB4X,12.034199,0.87229764,1.118735242549949e-30
10,HLA-DRB5,12.033169,1.244475,1.118735242549949e-30
10,IGHG3,11.999424,1.8935944,1.644550794056269e-30
10,EPAS1,11.970776,2.3667405,2.2721023309605964e-30
10,RPL3,11.9368515,0.60476404,3.3436362978897645e-30
10,CD93,11.91088,3.0119045,4.469964793117565e-30
10,MYL9,11.858397,1.4895064,8.20240898476605e-30
10,PLVAP,11.768796,2.440482,2.3331079191093714e-29
10,GSN,11.737599,1.4089837,3.242914194665656e-29
10,TAGLN,11.669415,1.4401925,7.104983849158445e-29
10,COL4A2,11.648283,1.7667253,8.934441304789088e-29
10,IGLC2,11.640587,2.0284672,9.597385000799591e-29
10,RPS9,11.524887,0.57362646,3.507162844447312e-28
10,CST3,11.448079,0.6831146,8.10393320711721e-28
10,SERPING1,11.434335,1.4067144,9.339600314870927e-28
10,COL6A2,11.409264,1.2099645,1.2067493035323936e-27
10,FSTL1,11.398839,1.8363552,1.3390561434234665e-27
10,GNG11,11.363087,2.4800713,1.9866567613215126e-27
10,RAMP3,11.342315,3.2952814,2.4443226899746313e-27
10,RPS3,11.334928,0.5988742,2.6204775121438954e-27
10,IGKC,11.31498,1.7124379,3.1963753664773767e-27
10,TXNIP,11.290835,1.3907192,4.148855822890754e-27
10,FOS,11.270192,1.7840518,5.1733231674647935e-27
11,FABP4,18.42576,6.935191,1.6510552956264744e-71
11,SAA1,18.242496,5.9723907,2.400381127935644e-70
11,ADH1B,16.3715,6.3836584,2.0601946213442646e-56
11,GPX3,15.134163,4.2840233,4.874193520416723e-48
11,IGLC2,14.4619665,3.7171538,8.522473740293077e-44
11,IGHG3,13.453928,3.0871801,9.840944392160062e-38
11,IGKC,13.072181,2.7854788,1.3719538846699863e-35
11,MTRNR2L12,12.831736,2.7416785,2.753049706469282e-34
11,MT-ND3,12.650425,1.1863294,2.5005269382709722e-33
11,CFD,12.559769,2.6967173,7.106198519288593e-33
11,MT-ND1,12.482375,1.2692342,1.712968002983661e-32
11,PLIN4,12.07513,5.7562237,2.409102216787512e-30
11,IGLC3,11.998633,2.849439,5.619613481048639e-30
11,LINC00632,11.90045,6.295467,1.700501230136174e-29
11,G0S2,11.885906,4.7135687,1.830398298905541e-29
11,MT-ND2,11.883152,1.1171014,1.830398298905541e-29
11,MT-ND4,11.678071,0.95494306,1.9629736529103188e-28
11,MT-CO2,11.632167,0.9057573,3.177853189748751e-28
11,MT-CO3,11.571719,0.9085958,6.101808482062955e-28
11,MT-ATP6,11.391241,0.9348722,4.675583283638118e-27
11,PLIN1,11.295844,6.1592145,1.324980382390741e-26
11,IGHG1,11.16268,2.0438309,5.708140139286501e-26
11,MT-CO1,10.682558,0.85273004,9.937708970753452e-24
11,C3,10.648923,1.7335407,1.3721491389870922e-23
11,RNASE1,10.511882,1.6810777,5.704823164872637e-23
11,IGHG4,10.506788,1.6667535,5.806328944284692e-23
11,GPD1,10.163483,6.3319964,1.823915702024019e-21
11,SERPING1,10.04342,1.5546882,5.8419737668755314e-21
11,ADIPOQ,9.886775,6.382968,2.596925585883253e-20
11,MT-CYB,9.840134,0.7422709,4.0242526896082704e-20
11,RPS18,9.750023,0.5612427,9.564183406376324e-20
11,MGST1,9.5311365,3.3912034,7.491497741975427e-19
11,LPL,8.915479,5.330398,1.889139152587501e-16
11,AL627171.2,8.603759,1.9313316,2.4379747415915115e-15
11,PPP1R1A,8.541004,4.960179,4.0166344327275236e-15
11,VIM,8.427765,0.984152,1.0327357861918211e-14
11,CIDEC,8.423088,6.5537286,1.0594694237706309e-14
11,ADIRF,8.419628,0.6636805,1.0758580262163542e-14
11,JCHAIN,8.227842,2.2176483,4.8800140349728524e-14
11,IGLC1,8.098586,1.4567792,1.2925803996507072e-13
11,IGFBP7,8.061395,0.9997982,1.6950549936140973e-13
11,GSN,7.9097466,1.3036929,5.433636233817238e-13
11,C1QA,7.717768,1.1048672,2.3022291024797888e-12
11,LIPE,7.6153884,4.7480645,4.747451317656809e-12
11,IGFBP4,7.6032796,0.7017387,5.167552468827338e-12
11,CIDEA,7.595976,7.175917,5.3724852243397894e-12
11,LRP1,7.527584,1.4122015,8.859203415624894e-12
11,MT-ND5,7.4891753,0.98214483,1.1554407090511718e-11
11,CD36,7.4884386,3.9513593,1.1554407090511718e-11
11,SERPINF1,7.4838257,1.3235855,1.187021189204228e-11
12,MGP,18.072514,3.8795455,1.0611687094989032e-68
12,ALB,17.687733,5.6713967,5.271722389363067e-66
12,STC2,15.778608,2.5974855,2.2081208188313168e-52
12,CTPS2,15.433619,2.6829493,3.9341967139522595e-50
12,BAMBI,15.403484,2.1070883,5.227596458244687e-50
12,ACADSB,15.004512,2.2671442,1.5243893952690352e-47
12,TMEM150C,14.465852,1.9207338,3.097907269457584e-44
12,IFT122,14.40649,2.0330718,5.954295210990533e-44
12,MUC19,14.33582,3.9392428,1.5548555164749986e-43
12,DRAIC,14.302705,2.950157,2.364822118707802e-43
12,APOD,14.194773,3.021243,1.0507029750723012e-42
12,TFF3,14.094519,1.5910578,4.150522164176242e-42
12,PRR15,14.020641,2.2325397,1.1225525499396523e-41
12,HK2,13.858369,2.5571938,1.0408256936104546e-40
12,XBP1,13.524947,0.9342084,9.389754615536552e-39
12,LIN7A,13.335231,3.3782566,1.1233263450985532e-37
12,RAB11FIP1,13.232352,1.8030123,4.122484554722199e-37
12,AC010998.3,13.216281,2.8627193,4.928837603472418e-37
12,REEP5,13.105788,1.4643805,2.0567256109993202e-36
12,CD163L1,13.088647,2.8822227,2.4945738856922812e-36
12,TBCA,12.916849,1.5394238,1.9768645983120999e-35
12,ZNF350-AS1,12.817373,4.060626,6.97582120050072e-35
12,ACTG1,12.765788,0.6647224,1.3201243216158606e-34
12,MRPL13,12.748648,1.5149492,1.6038490852301463e-34
12,SPCS1,12.676163,1.3820312,3.954282379286212e-34
12,ERLIN2,12.625842,1.8180257,6.9917004277519505e-34
12,S100G,12.617742,2.3705096,7.577091544155479e-34
12,DSP,12.590263,1.4873217,1.0502659581377916e-33
12,PVALB,12.564439,2.0421321,1.4252869385622607e-33
12,RP1,12.5520935,2.7798674,1.6312181856084696e-33
12,MLPH,12.431588,1.5470895,7.268604475415856e-33
12,POLR2K,12.426761,1.3188478,7.56666904875881e-33
12,TOB1,12.3924465,1.5584842,1.138739811247643e-32
12,EIF4A1,12.362538,0.95910245,1.6210436953438488e-32
12,TXNDC17,12.353207,1.4549731,1.786199831906929e-32
12,AC087379.2,12.246537,3.0987604,6.44707991532184e-32
12,IGFBP5,12.208043,0.9703004,1.0169531500371888e-31
12,SOCS2,12.101083,2.3164632,3.6982422583837816e-31
12,WIPI1,12.092204,2.2941835,4.049476858853363e-31
12,CSTA,12.088024,2.0864546,4.188615365450835e-31
12,COA3,12.084363,1.2421945,4.306456756382024e-31
12,ERP27,11.924424,2.7426176,2.9274021769422385e-30
12,HGD,11.892151,3.6779664,4.173867153042476e-30
12,FAM234B,11.878672,1.6256465,4.827950657898045e-30
12,LGALS8,11.834702,1.7456431,7.914126019549517e-30
12,RHOB,11.687691,1.367209,4.3939275327597303e-29
12,AFP,11.687465,3.444211,4.3939275327597303e-29
12,PSCA,11.668476,4.3944116,5.413888424359416e-29
12,DNAH5,11.496354,2.809403,3.9198281375395794e-28
12,H2AFJ,11.435632,1.1888487,7.6885213788175005e-28
13,CRISP3,16.076485,7.031595,7.542810157506526e-54
13,SLITRK6,14.119185,6.008731,2.925710526321909e-41
13,S100A14,12.54325,1.6776967,2.9182674715249836e-32
13,VTCN1,11.727715,3.2727058,4.647022760014972e-28
13,RPS19,10.555394,0.58930975,1.9400690447165656e-22
13,C6orf141,10.523861,3.77771,2.260730961067338e-22
13,ELF3,10.290766,1.2242172,2.2408570334215725e-21
13,RPL37A,9.851446,0.5302831,1.7081267280145857e-19
13,MAB21L4,9.819838,3.5492134,2.0785096373190007e-19
13,RPL35A,9.696074,0.5625566,6.337002154919646e-19
13,CYP4B1,9.683821,2.5694096,6.495174146158525e-19
13,RPL41,9.585576,0.38185182,1.54961805036083e-18
13,PPIA,9.531155,0.66041636,2.419892444329867e-18
13,RPL13A,9.195191,0.48641068,5.407698111664965e-17
13,RPS23,9.129908,0.54526305,9.243844847484142e-17
13,RPS12,8.98209,0.5241291,3.3582513118151047e-16
13,IGFBP5,8.851485,0.83426046,1.0274528740917273e-15
13,PTMA,8.797929,0.61509085,1.5659198901372263e-15
13,RPS6,8.666309,0.62673134,4.751319329176556e-15
13,AZGP1,8.64188,1.0186658,5.591777794120574e-15
13,PLPP2,8.449036,1.323735,2.700201960342267e-14
13,CRACR2B,8.353836,1.3478783,5.730548652587788e-14
13,NENF,8.334555,0.9240348,6.293222050069819e-14
13,RPS5,8.298136,0.48238608,8.226704826639845e-14
13,NAIP,8.156332,1.4916719,2.586950520525482e-13
13,RPL30,8.089883,0.36288354,4.313846296973177e-13
13,CHCHD2,8.071993,0.6978406,4.823294592334655e-13
13,RPS16,8.036927,0.4419958,6.210374022332268e-13
13,RIIAD1,7.831268,2.2747004,3.0525553591310043e-12
13,NUPR1,7.730317,0.7615301,6.574910691946557e-12
13,MYC,7.6623273,1.203447,1.0861616965298167e-11
13,SNRPE,7.632824,0.92619526,1.3271428931008215e-11
13,CALML5,7.617565,0.6567512,1.4523004298966783e-11
13,SHISA2,7.5241313,1.6485336,2.9010347232108355e-11
13,RPL12,7.5027833,0.5142383,3.3252435232161433e-11
13,NME2,7.477414,0.51907605,3.93087137687655e-11
13,DBI,7.3766513,0.90496755,8.007139518988284e-11
13,CD24,7.3114433,0.85543615,1.2726741107737362e-10
13,S100A13,7.300544,0.73570454,1.3480525876742233e-10
13,CBWD5,7.254541,1.5115939,1.8113792316359503e-10
13,H3F3A,7.183958,0.6717107,2.9775411902341e-10
13,RPL17,7.014041,0.39542004,9.75568446492699e-10
13,COA3,6.85367,0.8692869,2.911553313862341e-09
13,OCLN,6.7659864,1.4192507,5.250726243083775e-09
